zeri,itatti,score
82665.jpg,1037341,48.0
82686.jpg,1067681,31.0
82687.jpg,1067681,28.0
82700.jpg,1116431,118.0
82700.jpg,1116481,58.0
82700.jpg,1116421,55.0
82700.jpg,1116491,51.0
82700.jpg,1034991,46.0
82700.jpg,1116501,41.0
82700.jpg,1035001,34.0
82700.jpg,1116411,33.0
82704.jpg,1067681,39.0
82705.jpg,1067681,33.0
82715.jpg,1016671,89.0
82716.jpg,1016671,43.0
82746.jpg,1039231,36.0
82814.jpg,1039201,117.0
82830.jpg,1035791,48.0
82871.jpg,1033711,42.0
82877.jpg,1016351,59.0
82895.jpg,1027201,27.0
82911.jpg,1016171,66.0
82952.jpg,1016411,49.0
82954.jpg,1016421,53.0
82975.jpg,1035801,43.0
83016.jpg,1004911,53.0
83017.jpg,1004911,54.0
83018.jpg,1004911,30.0
83019.jpg,1004911,56.0
83020.jpg,1004911,39.0
83035.jpg,1004941,79.0
83036.jpg,1004941,46.0
83045.jpg,1006811,54.0
83045.jpg,1006631,52.0
83046.jpg,1006631,78.0
83046.jpg,1006811,47.0
83047.jpg,1005201,119.0
83047.jpg,1005121,107.0
83055.jpg,1005401,82.0
83056.jpg,1005401,49.0
83084.jpg,1005291,114.0
83085.jpg,1005291,61.0
83104.jpg,1005451,49.0
83121.jpg,1005221,148.0
83142.jpg,1004901,30.0
83174.jpg,1039701,45.0
83176.jpg,1060981,67.0
83179.jpg,1117021,29.0
83190.jpg,1016641,31.0
83191.jpg,1016641,166.0
83192.jpg,1016641,105.0
83193.jpg,1016641,99.0
83215.jpg,1044581,25.0
83216.jpg,1044601,85.0
83216.jpg,1044581,33.0
83216.jpg,1044591,28.0
83217.jpg,1044601,88.0
83217.jpg,1044581,37.0
83240.jpg,1044231,87.0
83253.jpg,1044271,35.0
83333.jpg,1039251,59.0
83396.jpg,1032471,39.0
83408.jpg,1046161,44.0
83415.jpg,1032481,55.0
83492.jpg,1027541,75.0
83493.jpg,1027541,66.0
83495.jpg,1027541,31.0
83497.jpg,1027541,50.0
83522.jpg,1002641,89.0
83526.jpg,1117551,94.0
83630.jpg,1011911,47.0
83631.jpg,1010961,51.0
83634.jpg,1116911,53.0
83655.jpg,1029651,127.0
83656.jpg,1029651,115.0
83740.jpg,1044521,40.0
83741.jpg,1044521,26.0
83742.jpg,1029691,82.0
83742.jpg,1044511,56.0
83757.jpg,1016741,56.0
83757.jpg,1016901,38.0
83757.jpg,1016891,35.0
83775.jpg,1098651,48.0
83775.jpg,1035921,25.0
83851.jpg,1040501,53.0
83868.jpg,1040561,107.0
83912.jpg,1037781,50.0
83919.jpg,1040511,88.0
83919.jpg,1009761,33.0
83919.jpg,1040531,28.0
83971.jpg,1039201,107.0
83981.jpg,1110961,56.0
84008.jpg,1039261,59.0
84194.jpg,1041131,97.0
84213.jpg,1037461,47.0
84226.jpg,1042881,60.0
84231.jpg,1037731,32.0
84232.jpg,1037731,50.0
84254.jpg,1009971,70.0
84255.jpg,1009971,89.0
84256.jpg,1009971,32.0
84257.jpg,1009971,40.0
84265.jpg,1037571,41.0
84273.jpg,1022551,76.0
84273.jpg,1022541,35.0
84277.jpg,1009931,148.0
84277.jpg,1009941,107.0
84281.jpg,1006781,64.0
84293.jpg,1027291,31.0
84301.jpg,1040711,25.0
84307.jpg,1005091,80.0
84307.jpg,1005101,33.0
84308.jpg,1005101,111.0
84309.jpg,1005101,97.0
84309.jpg,1005091,41.0
84337.jpg,1040991,102.0
84337.jpg,1040981,90.0
84371.jpg,1035291,35.0
84399.jpg,1005211,85.0
84399.jpg,1005311,33.0
84401.jpg,1029701,73.0
84411.jpg,1116691,113.0
84411.jpg,1039471,98.0
84424.jpg,1022721,69.0
84424.jpg,1022521,56.0
84424.jpg,1022531,50.0
84476.jpg,1075981,26.0
84476.jpg,1092181,25.0
84476.jpg,1096091,25.0
84502.jpg,1040571,28.0
84536.jpg,1027531,37.0
84608.jpg,1002501,105.0
84614.jpg,1061051,34.0
84615.jpg,1061051,38.0
84624.jpg,1061281,100.0
84625.jpg,1061281,48.0
84626.jpg,1061281,57.0
84630.jpg,1002671,28.0
84641.jpg,1016911,70.0
84648.jpg,1005381,25.0
84650.jpg,1037251,76.0
84651.jpg,1037251,51.0
84652.jpg,1061071,89.0
84652.jpg,1039541,50.0
84655.jpg,1017011,38.0
84656.jpg,1061341,46.0
84657.jpg,1061341,32.0
84671.jpg,1002611,41.0
84676.jpg,1002671,50.0
84712.jpg,1016841,58.0
84715.jpg,1002501,94.0
84716.jpg,1044631,28.0
84721.jpg,1061131,37.0
84721.jpg,1061121,30.0
84723.jpg,1061071,86.0
84723.jpg,1039541,50.0
84740.jpg,1061341,40.0
84740.jpg,1040721,26.0
84761.jpg,1017051,128.0
84761.jpg,1017061,43.0
84762.jpg,1017051,46.0
84762.jpg,1017061,45.0
84794.jpg,1060901,47.0
84795.jpg,1060901,51.0
84800.jpg,1060951,41.0
84813.jpg,1040901,39.0
84813.jpg,1040891,29.0
84815.jpg,1035811,27.0
84828.jpg,1016981,29.0
84847.jpg,1082871,29.0
84854.jpg,1040041,58.0
84873.jpg,1044111,33.0
84908.jpg,1039651,55.0
84909.jpg,1039651,59.0
84910.jpg,1039651,81.0
84911.jpg,1044151,146.0
84911.jpg,1044141,99.0
84913.jpg,1079151,26.0
84944.jpg,1046101,58.0
84944.jpg,1046091,28.0
84945.jpg,1061001,36.0
84963.jpg,1046141,62.0
84963.jpg,1045551,39.0
84968.jpg,1044161,72.0
84982.jpg,1039971,66.0
84982.jpg,1039981,46.0
84986.jpg,1060961,41.0
84986.jpg,1040451,39.0
84992.jpg,1040021,66.0
84992.jpg,1040011,29.0
84993.jpg,1040011,31.0
84994.jpg,1039781,38.0
84997.jpg,1040051,74.0
84998.jpg,1040051,62.0
85001.jpg,1046111,74.0
85002.jpg,1039751,71.0
85004.jpg,1016951,87.0
85008.jpg,1039951,69.0
85008.jpg,1039961,50.0
85011.jpg,1035851,34.0
85012.jpg,1079271,58.0
85014.jpg,1030751,61.0
85015.jpg,1030751,54.0
85016.jpg,1030751,84.0
85036.jpg,1011731,83.0
85036.jpg,1022461,39.0
85404.jpg,1022911,31.0
85407.jpg,1022911,35.0
85409.jpg,1022911,30.0
85410.jpg,1022911,26.0
85411.jpg,1022911,49.0
85482.jpg,1041231,27.0
85483.jpg,1041231,28.0
85500.jpg,1041121,41.0
85502.jpg,1041171,47.0
85502.jpg,1041231,27.0
85652.jpg,1041381,35.0
85659.jpg,1041271,54.0
85659.jpg,1041261,45.0
85666.jpg,1040631,41.0
