zeriArtist,zeriArtwork,viafArtwork,avg,zeriLabel,viafLabel,include
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44851,http://viaf.org/viaf/215960289,54," ""Vecellio Tiziano , Ritratto di Carlo V seduto"" ",Ritratto di Papa Sisto IV,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44851,http://viaf.org/viaf/184806503,53," ""Vecellio Tiziano , Ritratto di Carlo V seduto"" ",Ritratto del singolare amico di Tiziano,
https://w3id.org/zericatalog/person/8457/previtali-andrea,https://w3id.org/zericatalog/artwork/41873,http://viaf.org/viaf/304932155,53," ""Previtali Andrea , Madonna con Bambino"" ",Madonna con il Bambino tra San Gerolamo e Sant'Anna,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano 1981,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano 1990,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano 1988,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,65," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,62," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/312331474,51," ""Vecellio Tiziano , Madonna con Bambino"" ",Tiziano 1998,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44312,http://viaf.org/viaf/181977513,51," ""Vecellio Tiziano , Madonna con Bambino"" ",Pesaro-Madonna,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/40138,http://viaf.org/viaf/314336182,54," ""Beccafumi Domenico , Madonna con Bambino e san Michele Arcangelo"" ",Domenico Beccafumi e il suo tempo,
https://w3id.org/zericatalog/person/1192/beccafumi-domenico,https://w3id.org/zericatalog/artwork/40138,http://viaf.org/viaf/314746067,62," ""Beccafumi Domenico , Madonna con Bambino e san Michele Arcangelo"" ",Beccafumi,
https://w3id.org/zericatalog/person/10244/vasari-giorgio,https://w3id.org/zericatalog/artwork/39376,http://viaf.org/viaf/313704152,51," ""Vasari Giorgio , Papa Clemente VII e Francesco I"" , (elemento d'insieme)",Opere di Giorgio Vasari,
https://w3id.org/zericatalog/person/9583/solario-andrea,https://w3id.org/zericatalog/artwork/34675,http://viaf.org/viaf/314232281,56," ""Solario Andrea , Ritratto del cancelliere Domenico Gerolamo Morone"" ",Andrea Solario,
https://w3id.org/zericatalog/person/9583/solario-andrea,https://w3id.org/zericatalog/artwork/34835,http://viaf.org/viaf/314232281,63," ""Solario Andrea , Riposo nella fuga in Egitto"" ",Andrea Solario,
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,https://w3id.org/zericatalog/artwork/30388,http://viaf.org/viaf/313699703,59," ""Sanzio Raffaello, Penni Giovan Francesco, Pippi Giulio , Incoronazione di Maria Vergine"" ",Raffaello,
https://w3id.org/zericatalog/person/8457/previtali-andrea,https://w3id.org/zericatalog/artwork/41877,http://viaf.org/viaf/304932155,53," ""Previtali Andrea , Madonna con Bambino"" ",Madonna con il Bambino tra San Gerolamo e Sant'Anna,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44443,http://viaf.org/viaf/312331474,52," ""Vecellio Tiziano , San Sebastiano"" ",Tiziano 1981,
