search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Hetzer, Theodor","Hetzer, Theodor, 1890-1946",http://viaf.org/viaf/50021219,http://id.loc.gov/authorities/names/n83208729,http://isni.org/isni/0000000110619307,73,100,74,100,"86,75",
"Heusinger,  Lutz","Heusinger, Lutz.",http://viaf.org/viaf/19678888,http://id.loc.gov/authorities/names/n78050868,http://isni.org/isni/0000000122379128,91,94,100,100,"96,25",
"Heydemann, Heinrich","Heydemann, Heinrich, 1842-1889",http://viaf.org/viaf/35217233,http://id.loc.gov/authorities/names/no95023257,http://isni.org/isni/0000000061364829,80,95,78,100,"88,25",
"Heydenreich, Ludwig H.","Heydenreich, Ludwig H., 1903-1978",http://viaf.org/viaf/36962457,http://id.loc.gov/authorities/names/n80015696,http://isni.org/isni/0000000108880290,80,100,80,100,90,
"Heyne, Christian Gottlob",,http://viaf.org/viaf/14819364,,,,,,,,
"Hibbard, Howard","Hibbard, Howard, 1928-1984",http://viaf.org/viaf/33243474,http://id.loc.gov/authorities/names/n50041806,http://isni.org/isni/0000000110244875,76,94,74,100,86,
"Higgins, Reynold Alleyne","Higgins, Reynold Alleyne",http://viaf.org/viaf/109558135,http://id.loc.gov/authorities/names/n50033722,http://isni.org/isni/0000000117796170,100,100,100,100,100,
"Hildebrandt, Hans","Hildebrandt, Hans",http://viaf.org/viaf/45063485,http://id.loc.gov/authorities/names/n83213186,http://isni.org/isni/0000000116324411,100,100,100,100,100,
"Hill, Dorothy Kent","Hill, Dorothy, 1907-1997",http://viaf.org/viaf/93420554,http://id.loc.gov/authorities/names/n50033746,http://isni.org/isni/0000000081659747,67,78,62,83,"72,5",
"Hill, George Francis, Sir","Hill, George Francis, 1867-1948",http://viaf.org/viaf/68994178,http://id.loc.gov/authorities/names/n50034865,http://isni.org/isni/0000000121021175,77,85,73,90,"81,25",
"Himmelmann, Nikolaus","Himmelmann, Nikolaus, 1929-",http://viaf.org/viaf/109771643,http://id.loc.gov/authorities/names/n84012974,http://isni.org/isni/0000000118454279,85,100,88,100,"93,25",
"Hind, Arthur Mayger","Hind, Arthur Mayger, 1880-1957.",http://viaf.org/viaf/34542188,http://id.loc.gov/authorities/names/n79055395,http://isni.org/isni/0000000108866798,78,95,78,100,"87,75",
"Hinks, Roger P.","Hinks, Roger Packman, 1903-1963",http://viaf.org/viaf/55071235,http://id.loc.gov/authorities/names/n84127741,http://isni.org/isni/0000000109032285,61,93,62,92,77,
"Hinz, Sigrid",,http://viaf.org/viaf/27519114,,,,,,,,
"Hirmer, Max",,http://viaf.org/viaf/34578047,,,,,,,,
"Hirschfeld, Gustav",Gustav Hirschfeld deutscher Klassischer Arch&#xE4;ologe,http://viaf.org/viaf/59446790,http://id.loc.gov/authorities/names/nr2001030246,http://isni.org/isni/0000000110277263,41,68,48,100,"64,25",
"Hirt, Aloys","Hirt, Aloys, 1759-1836",http://viaf.org/viaf/49952941,http://id.loc.gov/authorities/names/n90715978,http://isni.org/isni/0000000066313422,67,100,67,100,"83,5",
"Hitchcock, Henry-Russell","Hitchcock, Henry-Russell, 1903-1987",http://viaf.org/viaf/108419350,http://id.loc.gov/authorities/names/n80076368,http://isni.org/isni/0000000121469746,83,96,82,100,"90,25",
"Hittorff, Jacques-Ignace","Hittorff, Jacques Ignace, 1792-1867",http://viaf.org/viaf/71399796,http://id.loc.gov/authorities/names/n86812973,http://isni.org/isni/0000000066420850,78,96,82,100,89,
"Hocke, Gustav René","Hocke, Gustav Ren&#xE9;, 1908-1985",http://viaf.org/viaf/61547092,http://id.loc.gov/authorities/names/n50057936,http://isni.org/isni/0000000109068931,65,94,70,100,"82,25",
"Hodgkinson, Terence",,http://viaf.org/viaf/24669369,,,0,0,0,0,0,
"Hodin, J. P.","Hodin, Josef Paul, 1905-1995",http://viaf.org/viaf/32024934,http://id.loc.gov/authorities/names/n50031261,http://isni.org/isni/0000000108847941,50,67,51,71,"59,75",
"Hoeltje, Georg","Hoeltje, Georg",http://viaf.org/viaf/117734415,http://id.loc.gov/authorities/names/nr90010060,http://isni.org/isni/0000000081868530,100,100,100,100,100,
"Hofer, Philip","Hofer, Philip, 1898-1984",http://viaf.org/viaf/120155546,http://id.loc.gov/authorities/names/n80082393,http://isni.org/isni/0000000110334088,70,100,71,100,"85,25",
"Hoff, Ursula","Hoff, Ursula, 1909-....",http://viaf.org/viaf/2617302,http://id.loc.gov/authorities/names/n50031281,http://isni.org/isni/0000000080822944,69,100,81,100,"87,5",
"Hoffmann, Edith","Hoffmann, Edith, 1888-1945",http://viaf.org/viaf/95294837,http://id.loc.gov/authorities/names/n85006445,http://isni.org/isni/0000000110314677,73,100,74,100,"86,75",
"Hoffmann, Hans",,http://viaf.org/viaf/111248682,,,,,,,,
"Hoffmann, Herbert","Hoffmann, Herbert, 1930-",http://viaf.org/viaf/88055997,http://id.loc.gov/authorities/names/n50031244,http://isni.org/isni/0000000109225888,83,100,86,100,"92,25",
"Hofmann, Werner",,http://viaf.org/viaf/4931225,,,,,,,,
"Hofstätter, Hans Hellmut",,http://viaf.org/viaf/36992959,,,,,,,,
"Hofstede de Groot, Cornelis","Hofstede de Groot, Cornelis, 1863-1930",http://viaf.org/viaf/95190303,http://id.loc.gov/authorities/names/no2004019580,http://isni.org/isni/0000000109272545,85,96,84,100,"91,25",
"Hohler, Christopher","Hohler, C.",http://viaf.org/viaf/266391144,http://id.loc.gov/authorities/names/no2003013578,,62,90,62,86,75,
"Hollstein, F. W. H.","Hollstein, Friedrich Wilhelm Heinrich, 1888-1957",http://viaf.org/viaf/17236635,http://id.loc.gov/authorities/names/n82211454,http://isni.org/isni/0000000121222647,48,63,49,75,"58,75",
"Holmes, C. J., Sir",,http://viaf.org/viaf/40793485,,,0,0,0,0,0,
"Holroyd, Charles, Sir","Holroyd, Charles, Sir, 1861-1917",http://viaf.org/viaf/115452212,http://id.loc.gov/authorities/names/nr97015239,http://isni.org/isni/0000000119542545,79,100,79,100,"89,5",
"Holt, Elizabeth Gilmore","Holt, Elizabeth Basye Gilmore.",http://viaf.org/viaf/54209421,http://id.loc.gov/authorities/names/n80030848,http://isni.org/isni/000000011570755X,87,74,88,100,"87,25",
"Homann-Wedeking, Ernst","Homann-Wedeking, Ernst",http://viaf.org/viaf/35242271,http://id.loc.gov/authorities/names/n50028169,http://isni.org/isni/0000000084022047,98,100,100,100,"99,5",
"Homburger, Otto","Homburger, Otto, 1885-1964",http://viaf.org/viaf/6044806,http://id.loc.gov/authorities/names/no96039005,http://isni.org/isni/0000000108661880,73,100,74,100,"86,75",
"Homer, William I.","Homer, William Innes",http://viaf.org/viaf/262191936,http://id.loc.gov/authorities/names/n80061180,http://isni.org/isni/0000000381571712,86,94,88,93,"90,25",
"Honour, Hugh",,http://viaf.org/viaf/109571813,,,,,,,,
"Hoogewerff, G. J.","Hoogewerff, G.J. (Godefridus Johannes), 1884-1963",http://viaf.org/viaf/39632681,http://id.loc.gov/authorities/names/nr96018051,http://isni.org/isni/0000000061526461,48,94,48,100,"72,5",
"Hoogstraeten, Samuel van","Hoogstraten, Samuel &#x98;van&#x9C; 1627-1678",http://viaf.org/viaf/24718773,http://id.loc.gov/authorities/names/nr94010737,http://isni.org/isni/0000000083653912,67,83,70,70,"72,5",
"Hope, Charles","Clark, C. M. H. (Charles Manning Hope), 1915-1991",http://viaf.org/viaf/108245566,http://id.loc.gov/authorities/names/n50038672,http://isni.org/isni/0000000108597145,29,69,44,100,"60,5",
"Hopkins, Henry T.","Hopkins, Henry, 1928-",http://viaf.org/viaf/96055841,http://id.loc.gov/authorities/names/n81080780,http://isni.org/isni/0000000114525826,79,88,79,93,"84,75",
"Hoppin, Joseph Clark",,http://viaf.org/viaf/91767706,,,,,,,,
"Hopps, Walter C",,http://viaf.org/viaf/71454764,,,,,,,,
"Horn, Rudolf",,http://viaf.org/viaf/778407,,,,,,,,
"Horn, Walter W.","Horn, Walter William, 1908-1995",http://viaf.org/viaf/91870727,http://id.loc.gov/authorities/names/n80090488,http://isni.org/isni/0000000081644713,61,93,52,92,"74,5",
"Horne, Herbert P.","Horne, Herbert P. (Herbert Percy), 1864-1916",http://viaf.org/viaf/54305591,http://id.loc.gov/authorities/names/n81075794,http://isni.org/isni/0000000109027785,56,100,56,100,78,
"Hörner, Margaret",,,,,,,,,,
"Hotho, Heinrich Gustav",,http://viaf.org/viaf/51769122,,,,,,,,
"Houbraken, Arnold",,http://viaf.org/viaf/74086960,,,,,,,,
"House, John",,http://viaf.org/viaf/110507091,,,,,,,,
"Hoving, Thomas","Hoving, Thomas, 1931-2009",http://viaf.org/viaf/34458064,http://id.loc.gov/authorities/names/n50029027,http://isni.org/isni/0000000081129615,72,100,72,100,86,
"Hubert, Jean",,http://viaf.org/viaf/39378613,,,,,,,,
"Hübl, Albert",,http://viaf.org/viaf/54516698,,,,,,,,
"Hübner, Julius",,http://viaf.org/viaf/15573309,,,,,,,,
"Hübner, Paul","Hu&#x308;bner, Paul Gustav, 1888-....",http://viaf.org/viaf/40373293,http://id.loc.gov/authorities/names/no2009090277,http://isni.org/isni/0000000107994122,45,83,46,57,"57,75",
"Hudig, Ferrand Whaley",,http://viaf.org/viaf/200935281,,,,,,,,
"Hudson, J. Richard",,,,,,,,,,
"Huemer, Frances",,http://viaf.org/viaf/64153835,,,,,,,,
"Hugo, Victor",,http://viaf.org/viaf/9847974,,,,,,,,
"Huizinga, Johan","Huizinga, Johan, 1872-1945.",http://viaf.org/viaf/66468881,http://id.loc.gov/authorities/names/n50034372,http://isni.org/isni/0000000092429488,71,100,74,100,"86,25",
"Hulin de Loo, Georges Nicolas Marie",,http://viaf.org/viaf/169931510,,,0,0,0,0,0,
"Hülsen, Christian Karl Friedrich","H&#xFC;lsen, Christian, 1858-1935",http://viaf.org/viaf/2527887,http://id.loc.gov/authorities/names/n87869161,http://isni.org/isni/0000000108628378,52,54,57,57,55,
"Hulst, Roger-Adolf, d'","d'Hulst, Roger-Adolf",http://viaf.org/viaf/2545238,http://id.loc.gov/authorities/names/n50029418,http://isni.org/isni/0000000108629477,86,90,100,100,94,
"Humann, Carl",,http://viaf.org/viaf/45096945,,,,,,,,
"Humbert, Agnès","Humbert, Agn&#xE8;s, 1896-1963.",http://viaf.org/viaf/61677440,http://id.loc.gov/authorities/names/no2005020292,http://isni.org/isni/0000000066370830,58,86,56,74,"68,5",
"Hunter, Sam","Hunter, Sam, 1923-2014",http://viaf.org/viaf/108241038,http://id.loc.gov/authorities/names/n79142716,http://isni.org/isni/0000000122839323,67,100,67,100,"83,5",
"Hürlimann, Martin",,http://viaf.org/viaf/110340069,,,,,,,,
"Hussey, Christopher","Hussey, Christopher, 1899-1970",http://viaf.org/viaf/46892181,http://id.loc.gov/authorities/names/n50030331,http://isni.org/isni/0000000122795201,78,100,78,100,89,
"Hutchinson, Susan A.",Susan A. Hutchinson Brooklyn Museum,http://viaf.org/viaf/54106031,http://id.loc.gov/authorities/names/nr2005018319,,46,62,69,100,"69,25",
"Hutchison, Sidney C.","Hutchison, Sidney C.",http://viaf.org/viaf/163390829,http://id.loc.gov/authorities/names/n86081116,http://isni.org/isni/0000000117135049,100,100,100,100,100,
"Huth, Hans","Huth, Hans, 1892-1977",http://viaf.org/viaf/108936171,http://id.loc.gov/authorities/names/n50030347,http://isni.org/isni/0000000115801626,65,100,64,100,"82,25",
"Hutter, Heribert","Hutter, He&#x301;ribert",http://viaf.org/viaf/121581729,http://id.loc.gov/authorities/names/n82072916,http://isni.org/isni/0000000109399941,82,62,50,83,"69,25",
"Hutter, Irmgard",,http://viaf.org/viaf/4947227,,,,,,,,
"Hüttinger, Eduard","H&#xFC;ttinger, Eduard",http://viaf.org/viaf/93204443,http://id.loc.gov/authorities/names/n50030307,http://isni.org/isni/000000010925542X,80,86,86,86,"84,5",
"Hutton, Edward",,http://viaf.org/viaf/8630442,,,,,,,,
"Huxtable, Ada Louise","Huxtable, Ada Louise",http://viaf.org/viaf/52165735,http://id.loc.gov/authorities/names/n81062666,http://isni.org/isni/0000000117633806,100,100,100,100,100,
"Huyghe, René","Huyghe, Ren&#xE9;, 1906-1997.",http://viaf.org/viaf/7391755,http://id.loc.gov/authorities/names/n50030362,http://isni.org/isni/000000010866482X,54,92,59,100,"76,25",
"Hymans, Henri","Hymans, Henri, 1836-1912",http://viaf.org/viaf/2458355,http://id.loc.gov/authorities/names/n83013537,http://isni.org/isni/0000000080815189,70,100,71,100,"85,25",
"Imdahl, Max","Imdahl, Max, 1925-1988",http://viaf.org/viaf/59098366,http://id.loc.gov/authorities/names/n84142815,http://isni.org/isni/0000000121016544,67,100,67,100,"83,5",
"Immerzeel, Johannes, Jr.","Immerzeel, Johannes, jr., 1776-1841",http://viaf.org/viaf/32798999,http://id.loc.gov/authorities/names/n88224257,http://isni.org/isni/0000000109635158,78,96,81,100,"88,75",
"Isaacson, Joel","Isaacson, Joel",http://viaf.org/viaf/5073304,http://id.loc.gov/authorities/names/n50029384,http://isni.org/isni/0000000080845281,100,100,100,100,100,
"Isarlo, Georges",,http://viaf.org/viaf/66459693,,,0,0,0,0,0,
"Isham, Samuel","Isham, Samuel, 1855-1914",http://viaf.org/viaf/38731116,http://id.loc.gov/authorities/names/n2002021200,http://isni.org/isni/0000000067059518,70,100,71,100,"85,25",
"Ivins, William M., Jr.","Ivins, William Mills, 1881-1961",http://viaf.org/viaf/3718644,http://id.loc.gov/authorities/names/n50037807,http://isni.org/isni/0000000108641337,68,82,64,84,"74,5",
"Jacobsthal, Paul","Jacobsthal, Paul, 1880-1957",http://viaf.org/viaf/69056063,http://id.loc.gov/authorities/names/n80015662,http://isni.org/isni/0000000081488263,77,94,75,100,"86,5",
"Jaffé, Hans L. C.","Jaff&#xE9;, Hans Ludwig C.",http://viaf.org/viaf/44300457,http://id.loc.gov/authorities/names/n79142734,http://isni.org/isni/0000000116311178,70,65,74,92,"75,25",
"Jaffe, Irma B.","Jaffe, Irma B.",http://viaf.org/viaf/17363436,http://id.loc.gov/authorities/names/n79103732,http://isni.org/isni/0000000116007336,100,100,100,100,100,
"Jaffé, Michael",,http://viaf.org/viaf/51834747,,,,,,,,
"Jahn, Johannes",,http://viaf.org/viaf/14871308,,,,,,,,
"Jahn, Otto",,http://viaf.org/viaf/46875138,,,,,,,,
"James, John",,,,,,,,,,
"James, Monty","James, Montague Rhodes",http://viaf.org/viaf/88882890,,,,,,,,
"Jameson, Anna","Jameson, Anna Brownell, 1794-1860",http://viaf.org/viaf/44469064,http://id.loc.gov/authorities/names/n50028986,http://isni.org/isni/0000000110259014,57,100,56,100,"78,25",
"Jamot, Paul",,http://viaf.org/viaf/71406188,,,,,,,,
"Janitschek, Hubert",,http://viaf.org/viaf/20447925,,,,,,,,
"Janson, Dora Jane","Janson, Dora Jane, 1916-2002",http://viaf.org/viaf/110200383,http://id.loc.gov/authorities/names/n50036718,http://isni.org/isni/0000000109342937,76,100,76,100,88,
"Janson, Horst Woldemar","Janson, Horst Woldemar, 1913-1982",http://viaf.org/viaf/91874639,http://id.loc.gov/authorities/names/n79086369,http://isni.org/isni/0000000120306275,80,100,81,100,"90,25",
"Jantzen, Hans","Jantzen, Hans, 1881-1967",http://viaf.org/viaf/51744151,http://id.loc.gov/authorities/names/n83212614,http://isni.org/isni/000000010857439X,70,100,71,100,"85,25",
"Jantzen, Ulf",,http://viaf.org/viaf/29547382,,,,,,,,
"Jarves, James Jackson","Jarves, James Jackson, 1818-1888",http://viaf.org/viaf/57487535,http://id.loc.gov/authorities/names/n50037832,http://isni.org/isni/0000000081371153,79,100,80,100,"89,75",
"Jedlicka, Gotthard",,http://viaf.org/viaf/25397106,,,,,,,,
"Jencks, Charles","Jencks, Charles",http://viaf.org/viaf/101610494,http://id.loc.gov/authorities/names/n79018196,http://isni.org/isni/0000000109294154,100,100,100,100,100,
"Jenkins, I. D.",,,,,0,0,0,0,0,
"Jessen, Peter","Jessen, Peter, 1858-1926.",http://viaf.org/viaf/69162168,http://id.loc.gov/authorities/names/n81089495,http://isni.org/isni/0000000109128164,68,100,71,100,"84,75",
"Joachim, Harold",,http://viaf.org/viaf/101299522,,,,,,,,
"Johnson, Ellen H.","Johnson, Ellen H.",http://viaf.org/viaf/6208832,http://id.loc.gov/authorities/names/n79055454,http://isni.org/isni/0000000109510478,100,100,100,100,100,
"Johnson, Lee",,http://viaf.org/viaf/9862111,,,,,,,,
"Johnson, Philip","Johnson, Philip, 1906-2005",http://viaf.org/viaf/108419418,http://id.loc.gov/authorities/names/n79071165,http://isni.org/isni/0000000109312885,73,100,74,100,"86,75",
"Johnson, Una E.","Johnson, Una E.",http://viaf.org/viaf/36933518,http://id.loc.gov/authorities/names/n80007748,http://isni.org/isni/0000000108878561,100,100,100,100,100,
"Joll, Evelyn Louis","Joll, Evelyn, 1925-....",http://viaf.org/viaf/109175950,http://id.loc.gov/authorities/names/n83229416,http://isni.org/isni/0000000110033744,63,72,67,81,"70,75",
"Jones, Frances Follin",,http://viaf.org/viaf/39255983,,,,,,,,
"Jones, Henry Stuart",,http://viaf.org/viaf/100180403,,,,,,,,
"Jones, Leslie Webber","Jones, Leslie Webber, 1900-....",http://viaf.org/viaf/114033218,http://id.loc.gov/authorities/names/no93019766,http://isni.org/isni/0000000081820633,78,100,88,100,"91,5",
"Jones, Roger",,http://viaf.org/viaf/97936625,,,,,,,,
"Jonge, Carla, Jkvr., de",,http://viaf.org/viaf/10922400,,,0,0,0,0,0,
"Jongh, Eddy de","Jongh, E. de",http://viaf.org/viaf/79149482,http://id.loc.gov/authorities/names/n79081794,http://isni.org/isni/0000000115761230,85,75,87,89,84,
"Jordan, Max",,http://viaf.org/viaf/56990842,,,,,,,,
"Jordy, William Henry","Jordy, William H.",http://viaf.org/viaf/33100460,http://id.loc.gov/authorities/names/n82108912,http://isni.org/isni/0000000121270649,86,94,88,93,"90,25",
"Jourdain, Margaret","Jourdain, Margaret",http://viaf.org/viaf/67785654,http://id.loc.gov/authorities/names/n81062373,http://isni.org/isni/0000000066315989,100,100,100,100,100,
"Jucker, Hans","Jucker, Hans, 1918-1984",http://viaf.org/viaf/88774537,http://id.loc.gov/authorities/names/n81019013,http://isni.org/isni/0000000080780596,69,100,69,100,"84,5",
"Judson, J. Richard","Judson, J. Richard (Jay Richard)",http://viaf.org/viaf/44371831,http://id.loc.gov/authorities/names/n50062630,http://isni.org/isni/0000000116313202,72,100,73,100,"86,25",
"Jullian, Philippe","Jullian, Philippe, 1921-1977",http://viaf.org/viaf/100215361,http://id.loc.gov/authorities/names/n82162110,http://isni.org/isni/0000000114785724,76,100,76,100,88,
"Jullian, René","Jullian, Ren&#xE9;, 1903-1992",http://viaf.org/viaf/36920228,http://id.loc.gov/authorities/names/n85017273,http://isni.org/isni/0000000110248489,57,92,61,100,"77,5",
"Junius, Franciscus",,http://viaf.org/viaf/59225563,,,,,,,,
"Justi, Carl Nicolaus Heinrich","Justi, Carl, 1832-1912.",http://viaf.org/viaf/19766795,http://id.loc.gov/authorities/names/n84128845,http://isni.org/isni/0000000108766383,39,54,31,59,"45,75", 
"Justi, Ludwig",, http://viaf.org/viaf/32792721,,,,,,,,
"Juynboll, W. R.","Juynboll, Willem Rudolf, 1903-....",http://viaf.org/viaf/45635349,http://id.loc.gov/authorities/names/n82000685,http://isni.org/isni/0000000084497050,57,73,62,80,68,
"Kaesbach, Walter","Kaesbach, Walter, 1879-1961",http://viaf.org/viaf/62343456,http://id.loc.gov/authorities/names/n84803564,http://isni.org/isni/0000000027393263,74,100,75,100,"87,25",
"Kaftal, George","Kaftal, George.",http://viaf.org/viaf/9874480,http://id.loc.gov/authorities/names/n86069037,http://isni.org/isni/0000000115930161,97,100,100,100,"99,25",
"Kahane, Peter","Kahane, P.P.",http://viaf.org/viaf/55511180,http://id.loc.gov/authorities/names/n82235500,http://isni.org/isni/000000009315050X,72,75,73,86,"76,5",
"Kähler, Heinz","K&#xE4;hler, Heinz, 1905-1974",http://viaf.org/viaf/2828700,http://id.loc.gov/authorities/names/n88607835,http://isni.org/isni/0000000115867051,60,86,54,62,"65,5",
"Kahn, Gustave","Kahn, Gus, 1886-1941",http://viaf.org/viaf/44483378,http://id.loc.gov/authorities/names/no89002698,http://isni.org/isni/000000007359770X,59,71,53,53,59,
"Kahnweiler, Daniel-Henri","Kahnweiler, Daniel-Henry, 1884-1979",http://viaf.org/viaf/64007397,http://id.loc.gov/authorities/names/n50044995,http://isni.org/isni/0000000117669382,78,96,79,85,"84,5",
"Kahr, Madlyn M.","Kahr, Madlyn Millner.",http://viaf.org/viaf/55819126,http://id.loc.gov/authorities/names/n93009385,http://isni.org/isni/0000000079970675,83,93,69,92,"84,25",
"Kaiser, Konrad",,http://viaf.org/viaf/119745364,,,,,,,,
"Kalf, Jan",,http://viaf.org/viaf/252170664,,,,,,,,
"Kallab, Wolfgang","Kallab, Wolfgang, 1875-1906",http://viaf.org/viaf/5672071,http://id.loc.gov/authorities/names/no2007133164,http://isni.org/isni/0000000061304324,74,100,75,100,"87,25",
"Kallir, Otto",,http://viaf.org/viaf/109000605,,,,,,,,
"Kalnein, Wend von","Kalnein, Wend von, 1914-",http://viaf.org/viaf/108788541,http://id.loc.gov/authorities/names/n83199594,http://isni.org/isni/0000000110322685,84,95,86,100,"91,25",
"Kantorowicz, Ernst Hartwig","Kantorowicz, Ernst Hartwig, 1895-1963.",http://viaf.org/viaf/34567953,http://id.loc.gov/authorities/names/n83031777,http://isni.org/isni/0000000081135396,81,100,83,100,91,
"Karo, Georg",,http://viaf.org/viaf/240837759,,,,,,,,
"Kaschnitz von Weinberg, Guido, Freiherr",,http://viaf.org/viaf/15569170,,,,,,,,
"Katzenellenbogen, Adolf",,http://viaf.org/viaf/55097880,,,,,,,,
"Kauffmann, C.","Kauffmann, C.M.",http://viaf.org/viaf/103291563,http://id.loc.gov/authorities/names/n78062360,http://isni.org/isni/0000000110319662,93,100,92,100,"96,25",
"Kauffmann, Hans","Kauffmann, Hans.",http://viaf.org/viaf/108297504,http://id.loc.gov/authorities/names/n85278650,http://isni.org/isni/0000000109310708,97,100,100,100,"99,25",
"Kaufmann, Edgard, Jr.",,http://viaf.org/viaf/34608572,,,0,0,0,0,0,
"Kaufmann, Emil","Kaufmann, Emil, 1891-1953",http://viaf.org/viaf/5016257,http://id.loc.gov/authorities/names/n86834733,http://isni.org/isni/0000000108649128,72,100,72,100,86,
"Kaufmann, Paul",,http://viaf.org/viaf/40120670,,,,,,,,
"Kaufmann, Thomas DaCosta","Kaufmann, Thomas DaCosta",http://viaf.org/viaf/71408847,http://id.loc.gov/authorities/names/n78006860,http://isni.org/isni/0000000109135866,98,100,100,100,"99,5",
"Kautzsch, Rudolf","Kautzsch, Rudolf, 1868-1945",http://viaf.org/viaf/13048871,http://id.loc.gov/authorities/names/n86852435,http://isni.org/isni/0000000110213585,74,100,75,100,"87,25",
"Kay, H. Isherwood",,http://viaf.org/viaf/285698348,,,0,0,0,0,0,
"Kayser, Stephen Sally","Kayser, Stephen S., 1900-1988",http://viaf.org/viaf/97951263,http://id.loc.gov/authorities/names/no91004199,http://isni.org/isni/0000000078188964,68,81,70,82,"75,25",
"Keck, Andrew S.",,http://viaf.org/viaf/88617900,,,0,0,0,0,0,
"Kekulé von Stradonitz, Reinhard","Kekul&#xE9;, Reinhard, 1839-1911",http://viaf.org/viaf/31987340,http://id.loc.gov/authorities/names/n88601763,http://isni.org/isni/0000000106536613,48,48,53,67,54,
"Kellen, Johan Philip van der",,http://viaf.org/viaf/61640420,,,0,0,0,0,0,
"Keller, Harald",,http://viaf.org/viaf/19700446,,,,,,,,
"Kendrick, A. F.","Kendrick, A. F. (Albert Frank), 1872-1954",http://viaf.org/viaf/107533028,http://id.loc.gov/authorities/names/n88054690,http://isni.org/isni/0000000114545798,54,100,51,100,"76,25",
"Kendrick, T. D.",,http://viaf.org/viaf/76309828,,,,,,,,
"Kennedy, Clarence",,http://viaf.org/viaf/95828683,,,,,,,,
"Kessler, Harry Klemens Ulrich, Graf von","Kessler, Harry, Graf. 1868-1937",http://viaf.org/viaf/71486164,http://id.loc.gov/authorities/names/n50082861,http://isni.org/isni/0000000116688311,58,52,55,78,"60,75",
"Kessler, Herbert L.",,http://viaf.org/viaf/4978993,,,,,,,,
"Kestner, August",,http://viaf.org/viaf/66688405,,,,,,,,
"Kidson, Peter",,http://viaf.org/viaf/88804936,,,,,,,,
"Kimball, Fiske","Kimball, Fiske, 1888-1955",http://viaf.org/viaf/66711813,http://id.loc.gov/authorities/names/n80051084,http://isni.org/isni/000000012137574X,72,100,72,100,86,
"King, Edward Stauffer","King, E. S.",http://viaf.org/viaf/58736503,http://id.loc.gov/authorities/names/no2001073711,http://isni.org/isni/0000000061379625,55,64,57,67,"60,75",
"King, Georgiana Goddard","King, Georgiana Goddard, 1871-1939",http://viaf.org/viaf/69034349,http://id.loc.gov/authorities/names/n80046037,http://isni.org/isni/0000000083444475,83,96,81,100,90,
"King, J. Cathart",,,,,0,0,0,0,0,
"Kinkel, Gottfried","Kinkel, Gottfried, 1815-1882",http://viaf.org/viaf/46857658,http://id.loc.gov/authorities/names/n83135731,http://isni.org/isni/0000000121311447,76,100,76,100,88,
"Kirschbaum, Engelbert","Kirschbaum, Engelbert, 1902-1970",http://viaf.org/viaf/104225031,http://id.loc.gov/authorities/names/no92018379,http://isni.org/isni/0000000109300622,79,100,80,100,"89,75",
"Kisa, Anton",,http://viaf.org/viaf/13051563,,,0,0,0,0,0,
"Kitson, Michael","Kitson, Michael",http://viaf.org/viaf/56760226,http://id.loc.gov/authorities/names/n50047209,http://isni.org/isni/0000000117647431,100,100,100,100,100,
"Kitzinger, Ernst","Kitzinger, Ernst, 1912-2003",http://viaf.org/viaf/71469917,http://id.loc.gov/authorities/names/n83044956,http://isni.org/isni/0000000109139541,74,100,75,100,"87,25",
"Klauser, Theodor","Klauser, Theodor, 1894-1984",http://viaf.org/viaf/27160218,http://id.loc.gov/authorities/names/n85221844,http://isni.org/isni/0000000120958089,74,100,75,100,"87,25",
"Klein, Jerome","Klein, Jerome O., 1931-....",http://viaf.org/viaf/109752191,http://id.loc.gov/authorities/names/n82066769,http://isni.org/isni/0000000081752546,68,100,77,100,"86,25",
"Klein, Robert",,http://viaf.org/viaf/100191829,,,,,,,,
"Klein, Wilhelm",,http://viaf.org/viaf/758041,,,,,,,,
"Kleinbauer, Walter Eugene, Jr.",,http://viaf.org/viaf/91975347,,,,,,,,
"Kleiner, Gerhard",,http://viaf.org/viaf/15569170,,,,,,,,
"Klingender, F. D.","Klingender, Francis Donald, 1907-1955",http://viaf.org/viaf/76443171,http://id.loc.gov/authorities/names/n50042338,http://isni.org/isni/0000000110716588,56,76,57,83,68,
"Klipstein, August","Klipstein, August, ....-1951",http://viaf.org/viaf/69105394,http://id.loc.gov/authorities/names/nr2002042383,http://isni.org/isni/0000000049965824,76,100,86,100,"90,5",
"Knackfuss, Hermann Joseph Wilhelm","Knackfu&#xDF;, Hermann 1848-1915",http://viaf.org/viaf/20472338,http://id.loc.gov/authorities/names/n83132167,http://isni.org/isni/0000000108773831,52,53,52,56,"53,25",
"Knackfuss, Hubert",,http://viaf.org/viaf/34539612,,,,,,,,
"Knight, Richard Payne","Knight, Richard Payne, 1751-1824",http://viaf.org/viaf/88637860,http://id.loc.gov/authorities/names/n82067521,http://isni.org/isni/0000000435002428,81,95,80,100,89,
"Knipping, Jean Baptist",,http://viaf.org/viaf/1524350,,,0,0,0,0,0,
"Knoef, Jan","Knoef, Jan, 1896-1948",http://viaf.org/viaf/72602653,http://id.loc.gov/authorities/names/no2006056948,http://isni.org/isni/0000000044839802,69,91,64,100,81,
