search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Baldass, Ludwig von","Baldass, Ludwig, 1887-1963",http://viaf.org/viaf/71533305,http://id.loc.gov/authorities/names/n97070788,http://isni.org/isni/0000000109142898,71,84,67,88,"77,5",
"Baldini, Umberto","Baldini, Umberto.",http://viaf.org/viaf/90126760,http://id.loc.gov/authorities/names/n79127066,http://isni.org/isni/0000000109235541,97,100,100,100,"99,25",
"Baldinucci, Filippo","Baldinucci, Filippo",http://viaf.org/viaf/95751085,,,,,,,,
"Balet, Leo","Balet, Leo",http://viaf.org/viaf/753624,,,,,,,,
"Baltrušaitis, Jurgis, II","Baltrušaitis, Jurgis, II",http://viaf.org/viaf/100900158,,,0,0,0,0,0,
"Bandinelli, Baccio","Bandinelli, Baccio, 1493-1560",http://viaf.org/viaf/88820562,http://id.loc.gov/authorities/names/n88217150,http://isni.org/isni/0000000080606651,77,100,77,100,"88,5",
"Bandmann, Günter","Bandmann, Günter",http://viaf.org/viaf/71517312,,,,,,,,
"Banham, Reyner","Banham, Reyner",http://viaf.org/viaf/108384896,,,,,,,,
"Banti, Luisa","Banti, Luisa, 1894-1978",http://viaf.org/viaf/79527053,http://id.loc.gov/authorities/names/n88620514,http://isni.org/isni/0000000080779659,72,92,69,100,"83,25",
"Barasch, Moshe","Barasch, Moshe",http://viaf.org/viaf/109235689,http://id.loc.gov/authorities/names/n80060422,http://isni.org/isni/0000000109327876,100,100,100,100,100,
"Barber, Leila Cook","Barber, Leila Cook",http://viaf.org/viaf/73699331,,,0,0,0,0,0,
"Barnes, Albert","Barnes, J. A. (John Arundel), 1918-",http://viaf.org/viaf/310527796,http://id.loc.gov/authorities/names/n50017778,http://isni.org/isni/000000010868656X,41,64,44,63,53,
"Barocchi, Paola","Barocchi, Paola",http://viaf.org/viaf/51703956,,,,,,,,
"Baroni, Costantino","Baroni, Costantino.",http://viaf.org/viaf/89097777,http://id.loc.gov/authorities/names/n84806645,http://isni.org/isni/0000000108591026,97,100,100,100,"99,25",
"Barr, Alfred H., Jr.","Barr, Alfred Hamilton, 1902-1981.",http://viaf.org/viaf/109252853,http://id.loc.gov/authorities/names/n79134989,http://isni.org/isni/0000000110323960,63,67,57,81,67,
"Barthel, Gustav","Barthel, Gustav, 1903-1972",http://viaf.org/viaf/71753140,http://id.loc.gov/authorities/names/nr00022194,http://isni.org/isni/0000000120283106,74,94,74,100,"85,5",
"Bartsch, Adam von","Bartsch, Adam &#x98;von&#x9C; 1757-1821",http://viaf.org/viaf/19720153,http://id.loc.gov/authorities/names/n84008617,http://isni.org/isni/0000000108763713,61,82,64,100,"76,75",
"Bartsch, Friedrich Joseph Adam, Ritter von","Bartsch, Friedrich von, 1793-1873",http://viaf.org/viaf/61092061,http://id.loc.gov/authorities/names/no00068246,http://isni.org/isni/0000000039040115,59,67,62,81,"67,25",
"Baruffaldi, Girolamo Cluento Nettunio","Baruffaldi, Girolamo Cluento Nettunio",http://viaf.org/viaf/17490596,,,0,0,0,0,0,
"Bastelaer, René van","Bastelaer, Rene&#x301; &#x98;van&#x9C; 1865-",http://viaf.org/viaf/88817338,http://id.loc.gov/authorities/names/nr96008716,http://isni.org/isni/0000000078192381,57,74,64,87,"70,5",
"Battisti, Eugenio","Battisti, Eugenio, 1924-1989",http://viaf.org/viaf/109698942,http://id.loc.gov/authorities/names/n80051629,http://isni.org/isni/0000000110325202,76,100,76,100,88,
"Bauch, Kurt","Bauch, Kurt, 1897-1975",http://viaf.org/viaf/113815327,http://id.loc.gov/authorities/names/no2006105375,http://isni.org/isni/0000000109373733,71,92,67,100,"82,5",
"Baudissin, Klaus, Graf von","Baudissin, Klaus, Graf von",http://viaf.org/viaf/62291208,,,0,0,0,0,0,
"Baudoin, Charles","Baudouin, Charles, 1893-1963",http://viaf.org/viaf/64001401,http://id.loc.gov/authorities/names/n50005410,http://isni.org/isni/0000000109084667,73,94,73,73,"78,25",
"Baudouin, Frans","Baudouin, Frans",http://viaf.org/viaf/52790560,http://id.loc.gov/authorities/names/n50005411,http://isni.org/isni/000000010901639X,100,100,100,100,100,
"Bauer, Hermann","Bauer, Hermann",http://viaf.org/viaf/111486071,,,,,,,,
"Baum, Julius","Baum, Julius",http://viaf.org/viaf/97656138,,,,,,,,
"Baumgart, Fritz","Baumgart, Fritz, 1902-1983",http://viaf.org/viaf/59875238,http://id.loc.gov/authorities/names/n79021869,http://isni.org/isni/0000000109065570,73,100,74,100,"86,75",
"Baur, John I.","Baur, John I. H. (John Ireland Howe), 1909-1987",http://viaf.org/viaf/39518003,http://id.loc.gov/authorities/names/n50005457,http://isni.org/isni/0000000114709852,43,100,42,100,"71,25",
"Bautier, Pierre Edmond Adrien Léopold","Bautier, Pierre Edmond Adrien Léopold",http://viaf.org/viaf/122322639,,,0,0,0,0,0,
"Baxandall, David Kighley","Baxandall, Michael",http://viaf.org/viaf/27077510,http://id.loc.gov/authorities/names/n79117251,http://isni.org/isni/0000000114403116,62,67,60,69,"64,5",
"Baxandall, Michael","Baxandall, Michael",http://viaf.org/viaf/27077510,,,,,,,,
"Baxter, Sylvestre",,,,,0,0,0,0,0,
"Bayersdorfer, Adolf","Bayersdorfer, Adolph, 1842-1901",http://viaf.org/viaf/5727878,http://id.loc.gov/authorities/names/n88083511,http://isni.org/isni/0000000120202521,75,90,72,80,"79,25",
"Bayet, Charles M. A. L.","Bayet, Charles M. A. L.",http://viaf.org/viaf/19788473,,,0,0,0,0,0,
"Bazin, Germain","Bazin, Germain, 1901-1990.",http://viaf.org/viaf/78769784,http://id.loc.gov/authorities/names/n50005699,http://isni.org/isni/0000000121407836,70,100,72,100,"85,5",
"Beam, Philip C.","Beam, Philip C.",http://viaf.org/viaf/91250009,http://id.loc.gov/authorities/names/n83214973,http://isni.org/isni/0000000082767416,100,100,100,100,100,
"Beazley, J. D.","Beazley, John Davidson, 1885-1970",http://viaf.org/viaf/54232695,http://id.loc.gov/authorities/names/n80015719,http://isni.org/isni/0000000108575878,51,79,52,78,65,
"Becatti, Giovanni","Becatti, Giovanni, 1912-1973",http://viaf.org/viaf/41875185,http://id.loc.gov/authorities/names/n79124615,http://isni.org/isni/0000000108912010,76,100,76,100,88,
"Beck, James","Beck, James M. (James Montgomery), 1861-1936",http://viaf.org/viaf/63998801,http://id.loc.gov/authorities/names/n85813566,http://isni.org/isni/0000000120272159,40,100,41,100,"70,25",
"Becker, Felix","Becker, Felix",http://viaf.org/viaf/7479425,,,,,,,,
"Beckwith, John","Beckwith, John, 1927-....",http://viaf.org/viaf/113215951,http://id.loc.gov/authorities/names/n81134934,http://isni.org/isni/0000000115072830,72,100,84,100,89,
"Beenken, Hermann Theodor","Beenken, Hermann, 1896-1952",http://viaf.org/viaf/64749600,http://id.loc.gov/authorities/names/no2011067780,http://isni.org/isni/0000000119355096,65,68,62,79,"68,5",
