name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
B.B. Fredericksen,"Fredericksen, Burton B., 1934-....",http://viaf.org/viaf/34547817,http://id.loc.gov/authorities/names/n79053697,http://isni.org/isni/0000000108867096,http://catalogue.bnf.fr/ark:/12148/cb12424745d,http://d-nb.info/gnd/110228078X,http://www.wikidata.org/entity/Q15933361,
Barbantini,"Barbantini, Nino, 1884-1952.",http://viaf.org/viaf/37806819,http://id.loc.gov/authorities/names/n85301086,http://isni.org/isni/0000000108890536,http://catalogue.bnf.fr/ark:/12148/cb13612172f,http://d-nb.info/gnd/122711637,http://www.wikidata.org/entity/Q3877142,https://it.wikipedia.org/wiki/Nino_Barbantini
Baroni,Galerie J.-F. Baroni (Paris),http://viaf.org/viaf/146357892,http://id.loc.gov/authorities/names/nr00019363,,,http://d-nb.info/gnd/5531134-9,,
C. Brandi,"Brandi, Cesare, 1906-1988.",http://viaf.org/viaf/27077893,http://id.loc.gov/authorities/names/n79021308,http://isni.org/isni/0000000120957991,http://catalogue.bnf.fr/ark:/12148/cb12020606k,http://d-nb.info/gnd/118856979,http://www.wikidata.org/entity/Q1056780,https://de.wikipedia.org/wiki/Cesare_Brandi
C. Gamba,"Gamba, Carlo",http://viaf.org/viaf/22035085,http://id.loc.gov/authorities/names/nr95032099,http://isni.org/isni/0000000061312121,http://catalogue.bnf.fr/ark:/12148/cb10854799c,http://d-nb.info/gnd/123953286,,
C. Gnudi,"Gnudi, Cesare",http://viaf.org/viaf/36931439,http://id.loc.gov/authorities/names/n80002573,http://isni.org/isni/000000010887822X,http://catalogue.bnf.fr/ark:/12148/cb12024738f,http://d-nb.info/gnd/131350633,http://www.wikidata.org/entity/Q16268417,https://it.wikipedia.org/wiki/Cesare_Gnudi
C. Pietrangeli,"Pietrangeli, Carlo",http://viaf.org/viaf/4950793,,http://isni.org/isni/0000000120987840,http://catalogue.bnf.fr/ark:/12148/cb12056906g,http://d-nb.info/gnd/119518961,http://www.wikidata.org/entity/Q2939235,https://de.wikipedia.org/wiki/Carlo_Pietrangeli
C. Ricci,"Ricci, Corrado",http://viaf.org/viaf/27192597,http://id.loc.gov/authorities/names/n81048019,http://isni.org/isni/0000000121253478,http://catalogue.bnf.fr/ark:/12148/cb12769110n,http://d-nb.info/gnd/118917897,http://www.wikidata.org/entity/Q3694305,https://de.wikipedia.org/wiki/Corrado_Ricci
C. Sestieri,"Sestieri, Ettore",http://viaf.org/viaf/88558393,http://id.loc.gov/authorities/names/no2009083050,http://isni.org/isni/0000000061263390,,,,
C. Strinati,"Strinati, Claudio",http://viaf.org/viaf/24649292,http://id.loc.gov/authorities/names/n82037936,http://isni.org/isni/0000000117511876,http://catalogue.bnf.fr/ark:/12148/cb12203715g,,http://www.wikidata.org/entity/Q18224677,https://fr.wikipedia.org/wiki/Claudio_Strinati
