zeriArtist,zeriArtwork,wdArtwork,avg,zeriLabel,wdLabel,include
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30041,http://www.wikidata.org/entity/Q249449,56,"Opera d'arte ""Sanzio Raffaello , Santa Caterina d'Alessandria"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30035,http://www.wikidata.org/entity/Q249449,57,"Opera d'arte ""Sanzio Raffaello , San Giorgio e il drago"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30388,http://www.wikidata.org/entity/Q249449,53,"Opera d'arte ""Sanzio Raffaello, Penni Giovan Francesco, Pippi Giulio , Incoronazione di Maria Vergine"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/29080,http://www.wikidata.org/entity/Q249449,57,"Opera d'arte ""Sanzio Raffaello , Madonna con Bambino"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30507,http://www.wikidata.org/entity/Q249449,57,"Opera d'arte ""Sanzio Raffaello , Scuola di Atene"" , (elemento d'insieme)",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30507,http://www.wikidata.org/entity/Q186953,68,"Opera d'arte ""Sanzio Raffaello , Scuola di Atene"" , (elemento d'insieme)",Scuola di Atene,Y
https://w3id.org/zericatalog/person/6892/mazzola-francesco,http://purl.org/emmedi/mauth/zeri/artwork/32728,http://www.wikidata.org/entity/Q282277,52,"Opera d'arte ""Mazzola Francesco , Circoncisione di Gesù"" ",Circoncision de Jésus,Y
https://w3id.org/zericatalog/person/6892/mazzola-francesco,http://purl.org/emmedi/mauth/zeri/artwork/32728,http://www.wikidata.org/entity/Q282277,77,"Opera d'arte ""Mazzola Francesco , Circoncisione di Gesù"" ",Circoncisione di Gesù,Y
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/29937,http://www.wikidata.org/entity/Q249449,53,"Opera d'arte ""Sanzio Raffaello , Adorazione dei Re Magi"" , (elemento d'insieme)",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/8444/predis-giovanni-ambrogio-de,http://purl.org/emmedi/mauth/zeri/artwork/35096,http://www.wikidata.org/entity/Q3937687,54,"Opera d'arte ""Predis Giovanni Ambrogio de' , Ritratto di giovane donna con ciliegie"" ",Ritratto di dama,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/29252,http://www.wikidata.org/entity/Q249449,54,"Opera d'arte ""Sanzio Raffaello , Ritratto di giovane donna, Santa Caterina d'Alessandria"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30442,http://www.wikidata.org/entity/Q249449,52,"Opera d'arte ""Sanzio Raffaello, Penni Giovan Francesco , Incoronazione di Carlo Magno"" , (elemento d'insieme)",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/6025/leonardo-da-vinci,http://purl.org/emmedi/mauth/zeri/artwork/34377,http://www.wikidata.org/entity/Q269342,54,"Titolo tradizionale ""Vergine delle Rocce""",La Verge de les Roques,Y
https://w3id.org/zericatalog/person/6025/leonardo-da-vinci,http://purl.org/emmedi/mauth/zeri/artwork/34377,http://www.wikidata.org/entity/Q269342,82,"Titolo tradizionale ""Vergine delle Rocce""",Vergine delle Rocce,Y
https://w3id.org/zericatalog/person/6025/leonardo-da-vinci,http://purl.org/emmedi/mauth/zeri/artwork/34379,http://www.wikidata.org/entity/Q269342,54,"Titolo tradizionale ""Vergine delle Rocce""",La Verge de les Roques,Y
https://w3id.org/zericatalog/person/6025/leonardo-da-vinci,http://purl.org/emmedi/mauth/zeri/artwork/34379,http://www.wikidata.org/entity/Q269342,82,"Titolo tradizionale ""Vergine delle Rocce""",Vergine delle Rocce,Y
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30042,http://www.wikidata.org/entity/Q249449,60,"Opera d'arte ""Sanzio Raffaello , Resurrezione di Cristo"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/2224/buonarroti-michelangelo,http://purl.org/emmedi/mauth/zeri/artwork/16579,http://www.wikidata.org/entity/Q235242,51,"Opera d'arte ""Buonarroti Michelangelo , Ezechiele"" , (elemento d'insieme)",Pietà van Michelangelo,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/32092,http://www.wikidata.org/entity/Q249449,57,"Opera d'arte ""Sanzio Raffaello , Madonna con Bambino"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/15174/berruguete-alonso,http://purl.org/emmedi/mauth/zeri/artwork/39600,http://www.wikidata.org/entity/Q3842439,63,"Opera d'arte ""Berruguete Alonso , Madonna con Bambino, san Giovannino e sant'Elisabetta"" ",Madonna col Bambino,N
https://w3id.org/zericatalog/person/9583/solario-andrea,http://purl.org/emmedi/mauth/zeri/artwork/34856,http://www.wikidata.org/entity/Q3985176,71,"Opera d'arte ""Solario Andrea , Salome con la testa di san Giovanni Battista"" ",Testa di Giovanni Battista,N
https://w3id.org/zericatalog/person/2116/bril-paul,http://purl.org/emmedi/mauth/zeri/artwork/33040,http://www.wikidata.org/entity/Q17330411,53,"Opera d'arte ""Bril Paul , Paesaggio con mulino e viandanti"" ",Paesaggio d'inverno,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/29238,http://www.wikidata.org/entity/Q249449,58,"Opera d'arte ""Sanzio Raffaello , Ritratto di Elisabetta Gonzaga"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/29109,http://www.wikidata.org/entity/Q249449,57,"Opera d'arte ""Sanzio Raffaello , Madonna con Bambino"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/781/baglione-giovanni,http://purl.org/emmedi/mauth/zeri/artwork/31733,http://www.wikidata.org/entity/Q18573503,53,"Opera d'arte ""Baglione Giovanni , Resurrezione di Cristo"" ",Risurrezione di Gesù,Y
https://w3id.org/zericatalog/person/781/baglione-giovanni,http://purl.org/emmedi/mauth/zeri/artwork/31733,http://www.wikidata.org/entity/Q18573503,53,"Opera d'arte ""Baglione Giovanni , Resurrezione di Cristo"" ",La Résurrection du Christ,Y
