id,search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-siena-th-century-italian-artist-attributed-to,"Anonymous painter of Siena, 15th century",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/cicognara-antonio-active-ca--italian-artist-near,"Cicognara, Antonio",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/grimani-antonio--italian-associated-name,"Grimani, Antonio  associated name",,http://viaf.org/viaf/89113036,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/italian-painter--,,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/giotto-ca-italian-artist-formerly-attr-to-workshop-of,Giotto,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/turino-di-vanni-after--italian-artist-near,Turino di Vanni,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mantegna-andrea--italian-artist-circle-of,"Mantegna, Andrea",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/mazzolino-ludovico-caca-italian-artist,"Mazzolino, Ludovico","Mazzolino, Ludovico, ca1480-ca1530",http://viaf.org/viaf/70567876,http://id.loc.gov/authorities/names/n91037807,http://isni.org/isni/0000000081504729,72,100,72,100,86
http://purl.org/emmedi/mauth/itatti/artist/altichiero-ac--died-before--italian-artist-near,Altichiero,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/balducci-matteo-active--italian-artist-formerly-attributed-to,"Balducci, Matteo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bono-da-ferrara-ac-italian-artist-,Bono da Ferrara,"Bonus, Petrus, active 1323-1330",http://viaf.org/viaf/79190181,http://id.loc.gov/authorities/names/n79131065,http://isni.org/isni/0000000083449292,26,33,27,27,"28,25"
http://purl.org/emmedi/mauth/itatti/artist/maso-di-banco-ac-italian-artist-circle-of,Maso di Banco,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/melozzo-da-forli--italian-artist-attributed-to,Melozzo da Forli,"Melozzo, da Forli&#x300;, 1438-1494",http://viaf.org/viaf/40174386,http://id.loc.gov/authorities/names/n86021753,http://isni.org/isni/0000000083431076,63,94,68,100,"81,25"
http://purl.org/emmedi/mauth/itatti/artist/bartolommeo-fra--italian-artist-after,"Bartolommeo, Fra",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/jesus-christ-ca--bc---ad-artist,Jesus Christ,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/baldovinetti-alesso--italian-artist-formerly-attributed-to,"Baldovinetti, Alesso","Baldovinetti, Alesso, 1425-1499",http://viaf.org/viaf/2742475,http://id.loc.gov/authorities/names/nr90015894,http://isni.org/isni/0000000080825766,78,100,79,100,"89,25"
http://purl.org/emmedi/mauth/itatti/artist/tintoretto-jacopo--italian-artist-studio-of,"Tintoretto, Jacopo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/sebastiano-del-piombo--italian-artist-copy-after,Sebastiano del Piombo,,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/giovanni-di-paolo-caca-italian-artist-,Giovanni di Paolo,,http://viaf.org/viaf/96544879,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/veronese-paolo--italian-artist-after,"Veronese, Paolo",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bramantino-ca-italian-artist-attributed-to,Bramantino,"Bramantino, 1465?-1530",http://viaf.org/viaf/100168678,http://id.loc.gov/authorities/names/n86861305,http://isni.org/isni/0000000118101895,62,100,67,100,"82,25"
http://purl.org/emmedi/mauth/itatti/artist/jacopo-del-casentino-ca-italian-artist-formerly-attributed-to,Jacopo del Casentino,,http://viaf.org/viaf/95702222,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/alunno-di-benozzo-active-late-thearly-th-cent-italian-artist-attributed-to,Alunno di Benozzo,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/master-of-the-rinuccini-chapel-ac-italian-artist-follower-of,Master of the Rinuccini Chapel,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/pollaiuolo-piero--italian-artist,"Pollaiuolo, Piero","Pollaiolo, Piero, approximately 1443-1496",http://viaf.org/viaf/100217899,http://id.loc.gov/authorities/names/no95008039,http://isni.org/isni/0000000121451984,55,94,55,55,"64,75"
http://purl.org/emmedi/mauth/itatti/artist/anonymous-painter-of-bologna-italian-artist,Anonymous painter of Bologna,,,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/semitecolo-nicoletto-ac--italian-artist,"Semitecolo, Nicoletto",,http://viaf.org/viaf/95728351,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/udine-giovanni-da--italian-artist,"Udine, Giovanni da","Giovanni, da Udine, 1487-1564",http://viaf.org/viaf/17255996,http://id.loc.gov/authorities/names/nr88006866,http://isni.org/isni/0000000115610475,47,61,77,100,"71,25"
http://purl.org/emmedi/mauth/itatti/artist/libri-francesco-dai-born--died--or--italian-artist,"Libri, Francesco dai",,http://viaf.org/viaf/40581217,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/mariano-di-austerio-da-perugia-born-ca--died--or--italian-artist-attributed-to,Mariano di Austerio da Perugia,,http://viaf.org/viaf/95702602,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/flemish-school-artist-,"Flemish school,",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/bramante-donato-c-italian-artist,"Bramante, Donato","Bramante, Donato, 1444?-1514",http://viaf.org/viaf/79161779,http://id.loc.gov/authorities/names/n50043001,http://isni.org/isni/0000000122822740,73,100,75,100,87
http://purl.org/emmedi/mauth/itatti/artist/bugiardini-giuliano--italian-artist,"Bugiardini, Giuliano","Bugiardini, Giuliano, 1475-1554",http://viaf.org/viaf/47641273,http://id.loc.gov/authorities/names/n87882828,http://isni.org/isni/0000000116360324,78,100,79,100,"89,25"
http://purl.org/emmedi/mauth/itatti/artist/poccetti-bernardino--italian-artist,"Poccetti, Bernardino","Poccetti, Bernardino, 1548-1612",http://viaf.org/viaf/14878241,http://id.loc.gov/authorities/names/no89007559,http://isni.org/isni/0000000108229553,78,100,79,100,"89,25"
http://purl.org/emmedi/mauth/itatti/artist/botticelli-sandro-born--or--died--italian-artist-near,"Botticelli, Sandro",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/pacino-di-bonaguida-italian-painter-and-illuminator-active-before--artist-school-of,Pacino di Bonaguida,Pacino di Bonaguida,http://viaf.org/viaf/95825675,http://id.loc.gov/authorities/names/nr97008924,http://isni.org/isni/0000000069538520,100,100,100,100,100
http://purl.org/emmedi/mauth/itatti/artist/coecke-van-aelst-pieter-the-elder--flemish-artist-follower-of,"Coecke van Aelst, Pieter, the elder",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/dossi-battista-ca-italian-artist,"Dossi, Battista",Battista Dossi pintor itali&#xE0;,http://viaf.org/viaf/89587384,http://id.loc.gov/authorities/names/nr95033958,http://isni.org/isni/0000000118451668,33,53,62,100,62
http://purl.org/emmedi/mauth/itatti/artist/caroto-giovanni-francesco-ca----italian-artist-attributed-to,"Caroto, Giovanni Francesco",,http://viaf.org/viaf/44574551,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/quirizio-di-giovanni-da-murano-ac--italian-artist-formerly-attributed-to,Quirizio di Giovanni da Murano,,http://viaf.org/viaf/95864943,,,0,0,0,0,0
http://purl.org/emmedi/mauth/itatti/artist/puligo-domenico--italian-artist-attributed-to,"Puligo, Domenico","Puligo, Domenico, 1492-1527",http://viaf.org/viaf/62439603,http://id.loc.gov/authorities/names/nr00034057,http://isni.org/isni/0000000116567392,74,100,75,100,"87,25"
http://purl.org/emmedi/mauth/itatti/artist/botticelli-sandro-born--or--died--italian-artist-after,"Botticelli, Sandro",,,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/diamante-fra-caca-italian-artist-formerly-attributed-to,"Diamante, Fra",,http://viaf.org/viaf/294581352,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/panetti-domenico-ca-before--italian-artist,"Panetti, Domenico",,http://viaf.org/viaf/22938636,,,,,,,
http://purl.org/emmedi/mauth/itatti/artist/matteo-da-gualdo-ca-after--italian-artist-circle-of,Matteo da Gualdo,,,,,,,,,
